headline,abstract,lead paragraph,first keyword,type of material,lead paragraph keywords,Main Keywords lead paragraph (tf- idf),abstract keywords,Main Keywords abstract (tf- idf),headline keywords,Main Keywords headline (tf- idf)
Catching Up With One of the ‘Old Gang’ That Reinvented Dance,"Aileen Passloff, 87, whose work will be at 92nd Street Y, talks about her career, Nijinsky’s ears and learning from James Waring.","When the choreographer Aileen Passloff landed at Bennington College in 1949, she was an 18-year-old ballet dancer who had never worn a pair of jeans. She was surrounded by modern dancers. “They would say, ‘Revolve around your soul,’ and I would look at them and they didn’t look any different revolving around their souls than without revolving,” Ms. Passloff said in an interview at her apartment on the Upper West Side. “‘Get into your groin’ was another. These were puzzlements to me.”",Dancing,News,"passloff, dancer, would","['choreograph', 'passloff', 'bennington', 'colleg', 'ballet', 'dancer', 'pair', 'jean', 'dancer', 'soul', '’', 'soul', 'm', 'passloff', 'interview', 'apart', 'side', '“', '‘', 'groin', '’', 'puzzlement']","aileen, passloff, 87","['passloff', 'work', 'street', 'talk', 'career', 'nijinski', '’', 'ear', 'jame']","catching, one, old","['‘', 'gang', '’', 'danc']"
"In Bosnia, a Father’s Grief Swells Into an Antigovernment Movement","The case of David Dragicevic, who was found dead in March, has become a rallying point for people disaffected with the Bosnian Serb politician Milorad Dodik.","BANJA LUKA, Bosnia and Herzegovina — After his 21-year-old son David was found dead in a creek last March, Davor Dragicevic, a waiter in a cafe, took matters into his own hands.",Bosnia and Herzegovina,News,"banja, luka, bosnia","['banja', 'luka', 'bosnia', 'herzegovina', '—', 'son', 'david', 'creek', 'march', 'davor', 'waiter', 'matter', 'hand']","case, david, dragicevic","['case', 'david', 'dragicev', 'march', 'point', 'peopl', 'serb', 'politician', 'milorad', 'dodik']","bosnia, father, grief","['bosnia', 'father', '’', 'grief', 'movement']"
"Giant Fungus Is Older, Bigger and Rarely Mutates","New genetic analysis shows that an underground parasitic mold in Michigan is about 2,500 years old and has a low mutation rate. ","The scientists first reported finding it in 1992: a giant mushroom that weighed as much as a blue whale and sprawled across more than 30 acres of forest in Michigan’s upper peninsula. It wasn’t some Alice-in-Wonderland-type toadstool but a 1,500-year-old parasitic mold, with growing tentacles that foraged beneath the soil for roots and decaying wood to devour.",Fungi,News,"scientist, first, reported","['scientist', 'mushroom', 'whale', 'acr', '’', 'peninsula', '’', 'toadstool', 'mold', 'tentacl', 'soil', 'root', 'wood']","new, genetic, analysis","['analysi', 'mold', 'michigan', 'year', 'mutat', 'rate']","giant, fungus, older","['fungu', 'mutat']"
Trump Invites TV Representatives to Lunch Ahead of His Prime-Time Speech,The White House has requested about eight minutes of broadcast time from the networks for President Trump’s address from the Oval Office.,"WASHINGTON — President Trump has invited representatives from cable and broadcast news channels to an off-the-record lunch at the White House ahead of his prime time speech Tuesday night, an address in which he is expected to frame his demand for border wall funding as a response to a national security and humanitarian crisis.",Shutdowns (Institutional),News,"washington, president, trump","['washington', '—', 'presid', 'trump', 'repres', 'cabl', 'broadcast', 'news', 'channel', 'offtherecord', 'lunch', 'hous', 'time', 'speech', 'tuesday', 'night', 'address', 'demand', 'border', 'wall', 'fund', 'respons', 'secur', 'crisi']","white, house, requested","['hous', 'minut', 'broadcast', 'time', 'network', 'presid', 'trump', '’', 'address', 'offic']","trump, invite, tv","['trump', 'tv', 'repres', 'primetim', 'speech']"
Bye to ‘Real Housewife’ Hair,Why the bob has been relevant for over a century.,"Among the few notable things about this year’s Golden Globes was that so many women dispensed with long curling-ironed hair or chignons or whatever other frippery and just chopped it. Saoirse Ronan had a lob, or “long bob,” styled by Ben Skervin. Claire Foy: mini-bob. Maya Rudolph: sharp medium-long bob. Lobs, too, for Lucy Boynton (“Bohemian Rhapsody”) and Irina Shayk, a model. ",Hair,News,"long, bob, lob","['thing', 'year', 'globe', 'woman', 'hair', 'chignon', 'fripperi', 'ronan', 'lob', 'bob', '”', 'ben', 'skervin', 'clair', 'foy', 'minibob', 'maya', 'rudolph', 'bob', 'lob', 'boynton', '“', 'rhapsodi', '”', 'model']","bob, relevant, century","['bob', 'centuri']","bye, real, housewife","['bye', 'housewif', '’', 'hair']"
Why Does This Fancy Shopping Mall Smell Like Street Meat?,"Bang Bar, a new food stall from David Chang, brings the traditions of shawarma, doner kebab and tacos al pastor to the Time Warner Center.","The fancy mall in the Time Warner Center known as the Shops at Columbus Circle has a lot to answer for. Its opening, in 2003, may have marked Manhattan’s capitulation to a retail landscape ruled by chains rather than independent, homegrown businesses.",Restaurants,Review,"fancy, mall, time","['fanci', 'mall', 'time', 'warner', 'center', 'shop', 'columbu', 'circl', 'lot', 'open', '’', 'capitul', 'landscap', 'chain', 'busi']","bang, bar, new","['bang', 'bar', 'food', 'stall', 'david', 'chang', 'tradit', 'doner', 'kebab', 'taco', 'al', 'pastor', 'time', 'warner', 'center']","fancy, shopping, mall","['shop', 'mall', 'street', 'meat']"
"U.K.’s Mixed Signals on a No-Deal Brexit: A Calamity, and All Is Well","Britain is trying to prove both that leaving the E.U. would be disastrous and that it has the situation under control, and it seems to be failing either way.","LONDON — The idea was to show that the British government could deal with the chaotic cross-channel truck traffic expected in the event of a cliff-edge, “no-deal” Brexit. But only 89 of the 150 trucks expected showed up for the exercise, despite the offer of $700 to participate. And even those who took part ended up dismissing “Operation Brock” as “window dressing” and “too little, too late.”",Great Britain Withdrawal from EU (Brexit),News,"deal, truck, expected","['london', 'idea', 'govern', 'crosschannel', 'truck', 'traffic', 'event', 'cliffedg', '“', 'nodeal', '”', 'brexit', 'truck', 'exercis', 'offer', 'part', 'oper', 'brock', '”', '“', 'window', '”', '“', '”']","britain, trying, prove","['britain', 'eu', 'situat', 'control', 'way']","u, k, mixed","['’', 'signal', 'brexit', 'calam']"
Laura Harrier’s Awards Season Beauty Secrets,Here’s how the “BlacKkKlansman” star survives the back-to-back red carpets.,"The rising star Laura Harrier, 28, is in high demand. You’ll find her in one of the buzziest films of this awards season, Spike Lee’s “BlacKkKlansman,” which vied for Best Motion Picture, Drama at the Golden Globes last weekend. And she will appear in two movies this year, including the sci-fi thriller “Warning” with Annabelle Wallis and Alice Eve. In the near term, there is the Screen Actors Guild awards, where Ms. Harrier and her “BlacKkKlansman” cohort are up for Outstanding Performance by a Cast in a Motion Picture. ","Harrier, Laura (1990- )",News,"harrier, award, blackkklansman","['star', 'laura', 'demand', 'film', 'award', 'season', 'spike', 'lee', '’', '“', 'blackkklansman', '”', 'motion', 'pictur', 'drama', 'globe', 'weekend', 'movi', 'year', 'scifi', 'thriller', '“', '”', 'walli', 'alic', 'term', 'actor', 'award', 'm', 'harrier', 'blackkklansman', '”', 'cohort', 'perform', 'cast', 'motion', 'pictur']","back, blackkklansman, star","['’', '“', 'blackkklansman', '”', 'star', 'backtoback', 'carpet']","laura, harrier, award","['laura', 'award', 'season', 'beauti', 'secret']"
"Violet Opens, With Rhode Island-Inspired Pizza From Matthew and Emily Hyland","Latin American dishes at the Hôtel Americano, a relocated pop-up in the James Hotel, and more restaurant news.","Rhode Island, where Emily and Matthew Hyland met in college, has inspired their sixth and most elegant restaurant. For this latest venture, the two, who were instrumental in bringing square Detroit-style pizzas to Brooklyn, Manhattan and Nashville, are focusing on grilled pizzas in the style of Al Forno in Providence — neither round nor square but “misshapen,” as Mr. Hyland put it. They’re topped with clams, hoisin sauce and duck prosciutto; grilled squash, Sichuan oil and chevre; and other combinations. There are also stuffies, the fist-size baked clams loved by Rhode Islanders, though Mr. Hyland said he would use more modest littlenecks instead of quahogs. The chef on hand is Alex Ureña, whose restaurant Ureña received two stars from Frank Bruni in The New York Times in 2006. Mr. Hyland will oversee the menu, which includes varying pasta dishes and plates. All come from an open kitchen in the back of the intimate space, which has a warmly lit arched ceiling and Art Deco touches. (Opens Thursday)",Restaurants,News,"hyland, mr, rhode","['rhode', 'island', 'hyland', 'colleg', 'sixth', 'restaur', 'ventur', 'pizza', 'manhattan', 'nashvil', 'pizza', 'style', 'al', 'forno', 'provid', '—', 'round', 'squar', '“', '”', 'mr', 'hyland', 'clam', 'sauc', 'duck', 'prosciutto', 'oil', 'chevr', 'combin', 'fistsiz', 'clam', 'rhode', 'island', 'hyland', 'littleneck', 'quahog', 'chef', 'hand', 'restaur', 'star', 'bruni', 'york', 'time', 'mr', 'hyland', 'menu', 'pasta', 'dish', 'kitchen', 'back', 'intim', 'space', 'lit', 'ceil', 'art', 'deco', 'touch', 'thursday']","latin, american, dish","['dish', 'hôtel', 'popup', 'jame', 'hotel', 'news']","violet, open, rhode","['violet', 'rhode', 'pizza', 'matthew']"
"Gumbo, the Classic New Orleans Dish, Is Dead. Long Live Gumbo.","Rich in flavor and history, the dish is no longer a fixture of local restaurants. Some chefs see that as a chance to reinvent it. ","NEW ORLEANS — Decades ago, soon after moving to this city from India, Arvinder Vilkhu began telling his wife and children, “If we ever have a restaurant, we must have a curried gumbo.”",Cooking and Cookbooks,News,"new, orleans, decade","['orlean', 'decad', 'citi', 'arvind', 'vilkhu', 'wife', 'child', 'restaur', 'gumbo', '”']","rich, flavor, history","['flavor', 'histori', 'dish', 'fixtur', 'restaur', 'chef', 'chanc']","gumbo, classic, new","['orlean', 'gumbo']"
Review: ‘You’re the Worst’ Heads Toward Happily Ever After. Maybe.,"The FXX comedy about horrible people, existential terror and the possibility of love begins its final season with a wedding to be planned.","The most recent season of FXX’s astringent comedy “You’re the Worst” ended, if not with a proposal, at least with a panicked surrender to the idea of marriage. Having fled, “The Graduate”-style, from a safe boyfriend, Gretchen (Aya Cash) turned to her dark-night-of-the-soul mate, Jimmy (Chris Geere), and said, “So, what are we thinking, October?” He gulped and grimaced for a short eternity and managed to croak out, “October could work.”",Television,Review,"october, recent, season","['season', '’', 'astring', 'comedi', '”', 'propos', 'surrend', 'idea', 'marriag', 'graduat', '”', 'style', 'boyfriend', 'gretchen', 'aya', 'cash', 'darknightofthesoul', 'mate', 'jimmi', 'chri', 'geer', '“', '”', 'etern', '“', 'octob']","fxx, comedy, horrible","['comedi', 'peopl', 'terror', 'possibl', 'love', 'season', 'wed']","review, worst, head","['review', '‘', 'head']"
Review: A ‘Sonic Great Wall’ Breaks Down Musical Barriers,"The composer Huang Ruo’s new piece, at National Sawdust, brought audience members and performers together in a metaphor of connection.","When he wrote it in 2016, the composer Huang Ruo couldn’t have imagined that his immersive multimedia work “Resonant Theater: The Sonic Great Wall” would be so timely. But before conducting it on Monday at National Sawdust in Brooklyn, Mr. Ruo asked audience members to take up a pen and paper.",Music,Review,"ruo, wrote, 2016","['compos', 'huang', 'ruo', '’', 'multimedia', 'work', '“', 'reson', 'theater', 'wall', '”', 'monday', 'sawdust', 'brooklyn', 'mr', 'ruo', 'audienc', 'member', 'pen', 'paper']","composer, huang, ruo","['compos', 'huang', 'ruo', '’', 'piec', 'sawdust', 'audienc', 'member', 'perform', 'metaphor', 'connect']","review, sonic, great","['wall', '’', 'barrier']"
